id;bank_account;ammount;expiration_date;period
1;Texas Concrete;29354;capability Loop Unbranded Frozen Towels;gold
2;Grove invoice Australia;79862;Intranet program Unbranded;SDR
3;Consultant;48950;Gorgeous Soft Soap Virginia;Florida Home Loan Account
4;access;68011;lime program;1080p Engineer intuitive
5;Division Handcrafted;97394;Rubber synergy program;transmitting Buckinghamshire Director
6;open architecture;38509;Cambridgeshire Fully-configurable iterate;Games HTTP Director
7;attitude-oriented;58385;Integration structure;action-items
8;Garden Well Buckinghamshire;98923;SDD auxiliary Utah;analyzer Chips
9;transmitting interactive reintermediate;19520;Electronics Forward bypassing;transitional
10;Toys Cotton;62169;Small Rubber Pants Brand Savings Account;end-to-end unleash
